Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
AFRICA FINANCE CORP,Supranationals,,SSA - Supranationals,Green,1,0.16bn,,ISS-Oekom,Sep-20
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Green,8,0.89bn,,Cicero,Sep-13
AFRICAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,11,4.55bn,Sep-17,Sustainalytics,Sep-17
AGDER ENERGI AS,Norway,,Corporate - Utilities,Green,2,0.16bn,,Cicero,Oct-17
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Green,5,4.18bn,,Vigeo Eiris,Oct-20
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,,SSA - Quasi-sovereigns,Sustainability,10,12.50bn,,Vigeo Eiris,Oct-20
AGENCE FRANCE LOCALE,France,,SSA - Quasi-sovereigns,Sustainability,3,1.25bn,,Vigeo Eiris,Jan-20
AGENCE METROPOLITAINE DES DECHETS MENAGERS,France,,Corporate - Industrials,Green,12,0.17bn,,Vigeo Eiris,Mar-20
AGENZIA NAZIONALE PER L’ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D’IMPRESA S.P.A.,Italy,,SSA - Agencies,Social,1,0.35bn,,DNV GL,Oct-22
AGILE GROUP HOLDINGS LTD,China (Hong Kong),,Financials - Real estate,Sustainability,1,0.31bn,,DNV GL,Jun-21
AGRI RESOURCES GROUP S.A.,Luxembourg,,Corporate - Consumer Staples,Sustainability,1,0.06bn,Feb-20,Vigeo Eiris,Feb-20
AGRICULTURAL BANK OF CHINA LTD/HONG KONG,China (mainland),,Financials - Banking,Green,2,0.90bn,Jan-22,Sustainalytics,Jan-22
AGRICULTURAL BANK OF CHINA LTD/MACAO,China (mainland),,Financials - Banking,Green,1,0.12bn,,Other,Feb-22
AGRICULTURAL BANK OF CHINA LTD/NEW YORK,China (mainland),,Financials - Banking,Green,4,3.36bn,,S&P,Jan-22
AGRICULTURAL DEVELOPMENT BANK OF CHINA,China (mainland),,SSA - Quasi-sovereigns,Green,1,1.03bn,,Cicero,Nov-18
AGROTO BUSINESS M SDN BHD,Malaysia,,Corporate - Consumer Staples,Social,1,0.05bn,,Other,Mar-21
AGUAS ANDINAS SA,Chile,,Corporate - Utilities,Green,2,0.05bn,,Vigeo Eiris,Apr-19
AGUAS ANDINAS SA,Chile,,Corporate - Utilities,Social,1,0.00bn,May-18,,
AIB GROUP PLC,Ireland,,Financials - Banking,Green,4,3.62bn,Nov-22,Sustainalytics,Nov-22
AIB GROUP PLC,Ireland,,Financials - Banking,Social,2,1.91bn,,ISS-Oekom,Jul-21
AICHI PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,1,0.07bn,Oct-22,Other,Oct-22
AIMCO REALTY INVESTORS LP,Canada,,Financials - Real estate,Green,1,0.40bn,Sep-21,Sustainalytics,Sep-21
AIR LIQUIDE FINANCE,France,,Corporate - Materials,Green,1,0.61bn,May-21,Sustainalytics,May-21
"AIR PRODUCTS AND CHEMICALS, INC.",United States,,Corporate - Materials,Green,2,1.34bn,Feb-23,Sustainalytics,Feb-23
AIR WATER INC,Japan,,Corporate - Materials,Sustainability,1,0.07bn,May-22,Other,May-22
