Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
CHERY HUIYIN MOTOR FINANCE SERVICE CO LTD,China (mainland),,Financials - Consumer Finance,Green,1,0.14bn,,Other,Mar-23
CHILE (REPUBLIC OF),Chile,,SSA - Sovereigns,Green,4,7.46bn,,Vigeo Eiris,Nov-20
CHILE (REPUBLIC OF),Chile,,SSA - Sovereigns,Sustainability Linked Bonds,1,2.00bn,Feb-22,Sustainalytics,Feb-22
CHILE GOVERNMENT INTERNATIONAL BOND,Chile,,SSA - Sovereigns,Social,8,12.61bn,,Vigeo Eiris,Nov-20
CHILE GOVERNMENT INTERNATIONAL BOND,Chile,,SSA - Sovereigns,Sustainability,4,5.50bn,,Climate Bonds Initiative Certified,Jan-22
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,China (Hong Kong),,Financials - Banking,Green,1,0.50bn,,Other,Dec-21
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,China (Hong Kong),,Financials - Banking,Sustainability Linked Bonds,2,1.15bn,,EY,Apr-21
CHINA CONSTRUCTION BANK CORP/LONDON,China (mainland),,Financials - Banking,Green,2,1.15bn,,EY,May-22
CHINA CONSTRUCTION BANK CORPORATION,China (mainland),,Financials - Banking,Green,4,2.66bn,,EY,Apr-21
CHINA DEVELOPMENT BANK CORPORATION,China (mainland),,SSA - Quasi-sovereigns,Green,12,17.33bn,,Other,Dec-21
CHINA ENERGY CONSERVATION & ENVIRONMENTAL PROTECTION GROUP,China (mainland),,Corporate - Energy,Green,1,0.16bn,,,
CHINA EVERBRIGHT ENVIRONMENT GROUP LTD,China (Hong Kong),,Corporate - Utilities,Green,1,0.24bn,,Other,Feb-22
CHINA EVERBRIGHT GREENTECH LTD,Cayman Islands,,Corporate - Energy,Green,3,0.26bn,Aug-18,Other,May-22
CHINA HUADIAN CORP LTD,China (mainland),,Corporate - Utilities,Green,1,0.63bn,,Other,Mar-22
CHINA HUANENG GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.00bn,,Other,Dec-21
CHINA HUANENG GROUP CO LTD,China (mainland),,Corporate - Utilities,Sustainability Linked Bonds,1,0.23bn,,Other,Apr-21
"CHINA MERCHANTS BANK CO., LTD",China (mainland),,Financials - Banking,Green,5,2.25bn,,EY,Feb-22
"CHINA MERCHANTS BANK CO., LTD",China (mainland),,Financials - Banking,Sustainability,2,0.60bn,,EY,Aug-21
CHINA OVERSEAS ENTERPRISE DEVELOPMENT GROUP CO LTD,China (Hong Kong),,Financials - Real estate,Green,3,0.59bn,,Other,Nov-22
CHINA PETROCHEMICAL CORP,China (mainland),,Corporate - Energy,Green,1,0.17bn,,Other,Mar-21
CHINA RESOURCES FINANCIAL LEASING CO LTD,China (mainland),,Financials - Commercial Finance,Green,1,0.11bn,,,
CHINA SOUTHERN POWER GRID CO LTD,China (mainland),,Corporate - Utilities,Green,2,0.31bn,,Other,Sep-22
CHINA THREE GORGES CORPORATION,China (mainland),,Corporate - Utilities,Green,4,1.41bn,Jun-17,EY,Jun-17
CHINA THREE GORGES RENEWABLES GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,3,0.55bn,Jun-17,Other,Mar-22
CHINA VANKE CO LTD,China (mainland),,Financials - Real estate,Green,3,0.73bn,Mar-21,Other,Aug-22
CHINA WATER AFFAIRS GROUP LTD,China (mainland),,Corporate - Utilities,Green,1,0.35bn,Apr-23,Sustainalytics,Apr-21
CHINA YANGTZE POWER CO LTD,China (mainland),,Corporate - Utilities,Sustainability Linked Bonds,1,0.16bn,,Other,Apr-21
CHINA YANTAI SALVAGE,China (mainland),,Corporate - Industrials,Green,2,0.09bn,,,
CHN ENERGY NEW ENERGY CO LTD,China (mainland),,Corporate - Energy,Sustainability Linked Bonds,1,0.15bn,,Other,Jun-21
CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,1,0.27bn,Nov-21,Sustainalytics,Nov-21
CHONGQING AIRPORT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,2,0.18bn,,Other,May-22
CHONGQING RAIL TRANSIT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,7,0.57bn,,Other,Dec-21
CHONGQING SANFENG ENVIRONMENT GROUP CORP LTD,China (mainland),,Corporate - Industrials,Green,1,0.16bn,,Other,Oct-21
CHRISTCHURCH CITY HOLDINGS LTD,New Zealand,,SSA - Quasi-sovereigns,Sustainability,1,0.11bn,,EY,Oct-21
CHUBU ELECTRIC POWER COMPANY INC.,Japan,,Corporate - Utilities,Green,2,0.25bn,,DNV GL,Mar-21
CHUGOKU BANK LTD/THE,Japan,,Financials - Banking,Social,1,0.10bn,Aug-20,Other,Aug-20
CHUNGHWA TELECOM CO LTD,Taiwan,,Corporate - Communications,Sustainability,1,0.12bn,,,
CHUO-NITTOCHI GROUP CO LTD,Japan,,Financials - Real estate,Green,1,0.05bn,,Japan Credit Rating Agency,Aug-21
CHURCH COMMISSIONERS FOR ENGLAND,United Kingdom,,Corporate - Consumer Discretionary,Sustainability,1,0.30bn,,ISS-Oekom,Jun-22
CIA DE SANEAMENTO DO PARANA,Brazil,,Corporate - Utilities,Sustainability,2,0.11bn,Jan-22,Other,Jan-22
CIA ENERGETICA DE PERNAMBUCO SA,Brazil,,Corporate - Utilities,Green,1,0.04bn,,Other,Sep-21
CIBUS NORDIC REAL ESTATE AB,Sweden,,Financials - Real estate,Green,3,0.18bn,May-20,Sustainalytics,May-20
CIE DE PHALSBOURG SARL,France,,Financials - Real estate,Green,1,0.25bn,,Vigeo Eiris,Nov-18
CIFI HOLDINGS GROUP CO LTD,Cayman Islands,,Financials - Real estate,Green,3,1.15bn,Apr-20,Sustainalytics,Apr-20
CIMB BANK BHD,Malaysia,,Financials - Banking,Sustainability,3,1.18bn,Oct-21,Sustainalytics,Oct-21
CITIGROUP GLOBAL MARKETS HOLDINGS INC.,United States,,Financials - Financial services,Green,1,0.00bn,Jan-19,Sustainalytics,Jan-19
CITIGROUP GLOBAL MARKETS HOLDINGS INC.,United States,,Financials - Financial services,Social,8,0.05bn,Jul-21,Sustainalytics,Jul-21
CITIGROUP GLOBAL MARKETS HOLDINGS INC/UNITED STATES,United States,,Financials - Financial services,Green,2,0.08bn,Jan-19,Sustainalytics,Jan-19
CITIGROUP GLOBAL MARKETS HOLDINGS INC/UNITED STATES,United States,,Financials - Financial services,Social,4,0.19bn,Jul-21,Sustainalytics,Jul-21
CITIGROUP INC,United States,,Financials - Banking,Green,7,2.70bn,Jan-19,Sustainalytics,Jan-19
CITIGROUP INC,United States,,Financials - Banking,Social,13,6.61bn,Jul-21,Sustainalytics,Jul-21
CITRUSVIL SA,Argentina,,Corporate - Consumer Staples,Green,1,0.01bn,May-22,Other,May-22
CITY OF BARCELONA,Spain,,SSA - Quasi-sovereigns,Sustainability,1,0.04bn,Nov-17,Sustainalytics,Nov-17
CITY OF FUKUOKA JAPAN,Japan,,SSA - Quasi-sovereigns,Green,2,0.11bn,,Other,Oct-21
CITY OF GOTHENBURG SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,22,2.19bn,Sep-19,Cicero,Sep-22
CITY OF HELSINGBORG SWEDEN,Sweden,,SSA - Quasi-sovereigns,Sustainability Linked Bonds,2,0.11bn,,S&P,Jan-22
CITY OF KAWASAKI JAPAN,Japan,,SSA - Quasi-sovereigns,Green,2,0.05bn,,Japan Credit Rating Agency,Jul-21
CITY OF KITAKYUSHU JAPAN,Japan,,SSA - Quasi-sovereigns,Sustainability,3,0.16bn,,Other,Sep-21
CITY OF KYOTO,Japan,,SSA - Quasi-sovereigns,Green,1,0.04bn,,Japan Credit Rating Agency,Nov-22
CITY OF LUNDS SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,5,0.24bn,,Cicero,Apr-17
CITY OF MALMO SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,9,0.54bn,Nov-17,Sustainalytics,Nov-17
CITY OF MUNICH GERMANY,Germany,,SSA - Quasi-sovereigns,Social,1,0.13bn,,Other,Feb-20
CITY OF NORRKOPING SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,3,0.21bn,,Cicero,Oct-19
CITY OF OREBRO SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,11,0.61bn,,Cicero,Nov-18
CITY OF OSAKA JAPAN,Japan,,SSA - Quasi-sovereigns,Green,1,0.04bn,Dec-22,Other,Dec-22
CITY OF OSLO NORWAY,Norway,,SSA - Quasi-sovereigns,Green,1,0.17bn,,Cicero,Nov-15
CITY OF OSTERSUND SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,9,0.54bn,,Cicero,Jan-23
CITY OF OTTAWA ONTARIO,Canada,,SSA - Quasi-sovereigns,Green,3,0.78bn,Oct-17,Sustainalytics,Oct-17
CITY OF REYKJAVIK ICELAND,Iceland,,SSA - Quasi-sovereigns,Green,2,0.06bn,Apr-23,Cicero,Nov-18
CITY OF SAGAMIHARA,Japan,,SSA - Quasi-sovereigns,Green,1,0.04bn,,Other,Jan-23
CITY OF SENDAI JAPAN,Japan,,SSA - Quasi-sovereigns,Green,1,0.03bn,Jul-22,Other,Jul-22
CITY OF TORONTO CANADA,Canada,,SSA - Quasi-sovereigns,Green,4,0.82bn,Mar-18,Sustainalytics,Mar-18
CITY OF TORONTO CANADA,Canada,,SSA - Quasi-sovereigns,Social,2,0.33bn,Mar-20,Sustainalytics,Mar-20
CITY OF VANCOUVER,Canada,,SSA - Quasi-sovereigns,Green,1,0.07bn,Jun-18,Sustainalytics,Jun-18
CITY OF VANCOUVER,Canada,,SSA - Quasi-sovereigns,Sustainability,1,0.08bn,Jul-20,Sustainalytics,Jul-20
CITY OF VASTERAS/SWEDEN,Sweden,,SSA - Quasi-sovereigns,Sustainability Linked Bonds,2,0.06bn,,S&P,Jan-23
CITY OF YOKOHAMA JAPAN,Japan,,SSA - Quasi-sovereigns,Sustainability,2,0.07bn,Oct-22,Other,Oct-22
CITYCON OYJ,Finland,,Financials - Real estate,Green,2,0.81bn,Dec-19,Cicero,Nov-19
CITYCON TREASURY BV,Netherlands,,Financials - Real estate,Green,2,0.51bn,,Cicero,Nov-19
CJ CHEILJEDANG CORP,Korea,,Corporate - Consumer Staples,Social,1,0.05bn,,Other,Sep-21
CK HUTCHISON EUROPE FINANCE 21 LTD,Cayman Islands,,Corporate - Consumer Staples,Green,1,0.58bn,Oct-21,Sustainalytics,Oct-21
CLARIANT AG,Switzerland,,Corporate - Materials,Green,1,0.18bn,,ISS-Oekom,Jul-22
CLARION FUNDING PLC,United Kingdom,,Financials - Real estate,Social,1,0.46bn,,Other,Dec-19
CLARION FUNDING PLC,United Kingdom,,Financials - Real estate,Sustainability,2,0.81bn,,Other,Dec-19
CLEAN RENEWABLE POWER MAURITIUS PTE LTD,Mauritius,,Corporate - Utilities,Green,2,0.36bn,,,
CLEARWAY ENERGY OPERATING LLC,United States,,Corporate - Utilities,Green,7,2.13bn,Dec-19,Sustainalytics,Dec-19
CLIFFTON LTD,Mauritius,,Corporate - Industrials,Green,2,0.45bn,,Cicero,Mar-21
CLP POWER HONG KONG FINANCING LIMITED,Virgin Islands,,Corporate - Utilities,Green,1,0.10bn,,DNV GL,Jun-20
CMB INTERNATIONAL LEASING MANAGEMENT LIMITED,China (Hong Kong),,Financials - Commercial Finance,Green,3,1.02bn,Aug-21,Sustainalytics,Aug-21
CMOC GROUP LTD,China (Hong Kong),,Corporate - Materials,Sustainability Linked Bonds,1,0.16bn,,Other,Dec-21
CMT MTN PTE LTD,Singapore,,Financials - Real estate,Green,2,0.21bn,,S&P,Feb-22
CNNC FINANCIAL LEASING CO LTD,China (mainland),,Financials - Commercial Finance,Green,1,0.00bn,,,
CNP ASSURANCES,France,,Financials - Insurance,Green,1,0.83bn,,Vigeo Eiris,Jun-19
CNP ASSURANCES,France,,Financials - Insurance,Sustainability,1,0.54bn,,ISS-Oekom,Dec-22
COASTAL EMERALD LTD,Virgin Islands,,Financials - Commercial Finance,Green,1,0.50bn,,,
"COCA-COLA FEMSA, S.A.B. DE C.V.",Mexico,,Corporate - Consumer Staples,Green,1,0.71bn,Aug-20,Sustainalytics,Aug-20
"COCA-COLA FEMSA, S.A.B. DE C.V.",Mexico,,Corporate - Consumer Staples,Social,1,0.00bn,,S&P,Sep-22
"COCA-COLA FEMSA, S.A.B. DE C.V.",Mexico,,Corporate - Consumer Staples,Sustainability,1,0.02bn,,S&P,Sep-22
COCA-COLA HBC FINANCE B.V.,Netherlands,,Corporate - Consumer Staples,Green,1,0.50bn,,ISS-Oekom,Sep-22
COCA-COLA IÇECEK A.S.,Turkey,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,0.50bn,,Sustainalytics,Jan-22
CODIC INTERNATIONAL SA,Belgium,,Financials - Real estate,Green,1,0.02bn,Feb-22,ISS-Oekom,Sep-21
COFINIMMO SA/NV,Belgium,,Financials - Real estate,Sustainability,3,1.22bn,,Vigeo Eiris,May-20
COLBUN SA,Chile,,Corporate - Utilities,Green,2,0.60bn,Oct-21,Sustainalytics,Oct-21
COLGATE-PALMOLIVE COMPANY,United States,,Corporate - Consumer Staples,Sustainability,1,0.58bn,,Vigeo Eiris,Oct-21
COLOMBIA (REPUBLIC OF),Colombia,,SSA - Sovereigns,Green,1,0.39bn,,Vigeo Eiris,Jun-21
COLUMBIA WATER AND SEWER AUTHORITY,United States,,Corporate - Utilities,Green,1,0.35bn,,Vigeo Eiris,Sep-19
COLUMBUS ENERGY S.A.,Poland,,Corporate - Materials,Green,1,0.01bn,,Cicero,Mar-21
COMCAST CORP.,United States,,Corporate - Communications,Green,1,1.00bn,,S&P,Jan-23
COMFORIA RESIDENTIAL REIT INC,Japan,,Financials - Real estate,Green,2,0.04bn,Jul-20,Sustainalytics,Jul-20
COMISION FEDERAL DE ELECTRICIDAD,Mexico,,Corporate - Utilities,Sustainability,8,2.00bn,Jan-22,Sustainalytics,Jan-22
COMMERZBANK AG,Germany,,Financials - Banking,Green,3,1.71bn,Sep-18,Sustainalytics,Sep-18
COMMONWEALTH BANK OF AUSTRALIA,Australia,,Financials - Banking,Green,1,0.37bn,Feb-20,EY,Aug-21
COMMUNAUTE FRANCAISE DE BELGIQUE,Belgium,,SSA - Quasi-sovereigns,Social,15,2.37bn,,ISS-Oekom,Jun-21
COMMUNE DE LYON,France,,SSA - Quasi-sovereigns,Green,1,0.01bn,,Moody's,Sep-22
COMMUNIDAD DE MADRID,Spain,,SSA - Quasi-sovereigns,Green,3,1.82bn,Mar-20,Sustainalytics,Mar-20
COMMUNIDAD DE MADRID,Spain,,SSA - Quasi-sovereigns,Sustainability,9,8.01bn,Mar-20,Sustainalytics,Mar-20
COMMUNITY PRESERVATION CORP/THE,United States,,Financials - Consumer Finance,Sustainability,1,0.15bn,Oct-19,Sustainalytics,Oct-19
COMPAGNIE DE SAINT-GOBAIN,France,,Corporate - Materials,Sustainability Linked Bonds,1,0.51bn,,ISS-Oekom,Jul-22
COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA SA - CTEEP,Brazil,,Corporate - Utilities,Green,3,0.35bn,Mar-18,Other,Mar-18
COMPASS GROUP FINANCE NETHERLANDS BV,Netherlands,,Corporate - Consumer Discretionary,Sustainability,1,0.50bn,Jul-22,Other,Jul-22
COMPASS GROUP PLC,United Kingdom,,Corporate - Consumer Discretionary,Sustainability,1,0.29bn,Jul-22,Other,Jul-22
COMUNIDAD AUTONOMA DE ANDALUCIA,Spain,,SSA - Quasi-sovereigns,Sustainability,1,0.63bn,Mar-21,Sustainalytics,Mar-21
COMUNIDAD FORAL DE NAVARRA,Spain,,SSA - Quasi-sovereigns,Sustainability,3,0.28bn,Apr-19,Sustainalytics,Apr-19
CONCORD NEW ENERGY GROUP LTD,Bermuda,,Corporate - Utilities,Green,1,0.09bn,Apr-20,Sustainalytics,Apr-20
CONGRESSIONAL BANCSHARES INC,United States,,Financials - Banking,Green,2,0.25bn,Dec-21,Sustainalytics,Dec-21
CONSERVATION FUND A NONPROFIT CORP/THE,United States,,Corporate - Consumer Discretionary,Green,1,0.15bn,Sep-19,Sustainalytics,Sep-19
CONSORCIO TRANSMANTARO S.A.,Peru,,Corporate - Utilities,Green,2,0.60bn,,S&P,Sep-20
CONSTELLIUM SE,France,,Corporate - Materials,Sustainability Linked Bonds,4,0.87bn,,Sustainalytics,Feb-21
CONTACT ENERGY LTD,New Zealand,,Corporate - Utilities,Green,4,0.56bn,,EY,Oct-22
CONTINUUM ENERGY LEVANTER PTE LTD,Singapore,,Corporate - Energy,Green,2,0.56bn,,Cicero,Jan-21
COÖPERATIEVE RABOBANK U.A.,Netherlands,,Financials - Banking,Green,5,2.83bn,Jun-19,Sustainalytics,Jun-19
CO-OPERATIVE BANK FINANCE PLC/THE,United Kingdom,,Financials - Banking,Green,1,0.33bn,,ISS-Oekom,Feb-22
CO-OPERATIVE GROUP LTD,United Kingdom,,Corporate - Consumer Staples,Sustainability,1,0.38bn,,,
COREM PROPERTY GROUP AB,Sweden,,Financials - Real estate,Green,3,0.56bn,Sep-20,Cicero,Sep-20
CORP INMOBILIARIA VESTA SAB DE CV,Mexico,,Financials - Real estate,Sustainability Linked Bonds,2,0.70bn,,DNV GL,May-21
CORPORACION ANDINA DE FOMENTO,Supranationals,,SSA - Supranationals,Green,6,1.74bn,May-19,Sustainalytics,May-19
CORPORACION ANDINA DE FOMENTO,Supranationals,,SSA - Supranationals,Social,5,1.07bn,,,
CORPORACION FINANCIERA COLOMBIANA,Colombia,,Financials - Financial services,Social,2,0.13bn,,Other,Aug-21
COUNCIL OF EUROPE DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,12,8.90bn,Mar-22,Sustainalytics,Mar-22
COVERT MERGECO INC,United States,,Corporate - Industrials,Sustainability Linked Bonds,2,0.77bn,,ISS-Oekom,Nov-21
COVESTRO AG,Germany,,Corporate - Materials,Green,1,0.50bn,,ISS-Oekom,May-22
"COVIVIO, S.A.",France,,Financials - Real estate,Green,3,1.24bn,Oct-19,Vigeo Eiris,Sep-19
CP LOS OLIVOS SAU,Argentina,,Corporate - Industrials,Green,1,0.04bn,Aug-22,Other,Aug-22
CPI HUNGARY INVESTMENTS KFT,Hungary,,Financials - Real estate,Green,1,0.10bn,,,
CPI PROPERTY GROUP,Luxembourg,,Financials - Real estate,Green,4,2.25bn,Jan-22,Sustainalytics,Jan-22
CPI PROPERTY GROUP,Luxembourg,,Financials - Real estate,Sustainability Linked Bonds,1,0.79bn,Jan-22,Sustainalytics,Jan-22
CPPIB CAPITAL INC,Canada,,SSA - Agencies,Green,6,4.19bn,May-18,Cicero,May-18
CRE LOGISTICS REIT INC,Japan,,Financials - Real estate,Green,2,0.04bn,Jun-20,Japan Credit Rating Agency,Jun-20
CREDIT AGRICOLE CIB FINANCE LUXEMBOURG S.A.,Luxembourg,,Financials - Banking,Green,4,0.02bn,,Vigeo Eiris,Oct-19
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS,France,,Financials - Financial services,Green,52,1.93bn,,Vigeo Eiris,Aug-20
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS,France,,Financials - Financial services,Social,3,0.09bn,,Vigeo Eiris,Nov-20
CREDIT AGRICOLE CIB FINANCIAL SOLUTIONS SA,France,,Financials - Financial services,Green,15,0.14bn,,Sustainalytics,Apr-15
CREDIT AGRICOLE CORPORATE & INVESTMENT BANK SA/ TAIPEI,France,,Financials - Banking,Green,5,0.24bn,,Vigeo Eiris,Oct-19
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,France,,Financials - Banking,Green,77,1.31bn,,Vigeo Eiris,Aug-20
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,France,,Financials - Banking,Social,2,0.02bn,,Vigeo Eiris,Nov-20
CREDIT AGRICOLE HOME LOAN SFH,France,,Financials - Consumer Finance,Green,1,1.38bn,,,
CREDIT AGRICOLE HOME LOAN SFH,France,,Financials - Consumer Finance,Social,1,1.18bn,,Vigeo Eiris,Nov-20
CREDIT AGRICOLE ITALIA S.P.A.,Italy,,Financials - Banking,Green,1,0.60bn,,Vigeo Eiris,Aug-20
CREDIT AGRICOLE NEXT BANK SUISSE SA,Switzerland,,Financials - Banking,Green,2,0.27bn,Sep-21,Vigeo Eiris,Aug-21
CREDIT AGRICOLE S.A.,France,,Financials - Banking,Green,2,2.24bn,May-20,Vigeo Eiris,Nov-19
CREDIT AGRICOLE S.A.,France,,Financials - Banking,Social,3,3.36bn,,Vigeo Eiris,Nov-20
CREDIT MUTUEL ARKEA,France,,Financials - Banking,Green,2,0.53bn,,Vigeo Eiris,Feb-22
CREDIT MUTUEL ARKEA,France,,Financials - Banking,Social,4,2.66bn,,Vigeo Eiris,Feb-22
"CREDIT SAISON CO.,LTD",Japan,,Financials - Consumer Finance,Social,1,0.07bn,,Other,Feb-22
CREDIT SUISSE AG,Switzerland,,Financials - Banking,Green,1,0.54bn,,ISS-Oekom,May-20
CREDIT SUISSE AG/SINGAPORE,Singapore,,Financials - Banking,Green,2,0.02bn,,ISS-Oekom,Jun-21
CREDIT SUISSE INTERNATIONAL,United Kingdom,,Financials - Financial services,Green,5,0.08bn,,ISS-Oekom,Jul-21
CREDITO EMILIANO HOLDING SPA,Italy,,Financials - Banking,Social,1,0.21bn,,ISS-Oekom,May-22
CREDITO EMILIANO S.P.A.,Italy,,Financials - Banking,Green,1,0.68bn,,ISS-Oekom,Dec-21
CSSC CAPITAL 2015 LTD,Virgin Islands,,Corporate - Industrials,Green,1,0.50bn,,,
CTBC BANK CO LTD,Taiwan,,Financials - Banking,Social,1,0.04bn,,EY,Oct-20
CTBC BANK CO LTD,Taiwan,,Financials - Banking,Sustainability,1,0.03bn,Oct-20,EY,Oct-20
CTP BV,Netherlands,,Financials - Real estate,Green,8,5.03bn,Aug-20,Sustainalytics,Aug-20
CULLINAN HOLDCO SCSP,United States,,Corporate - Energy,Sustainability Linked Bonds,4,0.73bn,Oct-21,Sustainalytics,Oct-21
CYFROWY POLSAT SA,Poland,,Corporate - Communications,Green,1,0.26bn,Jan-20,Sustainalytics,Jan-20
CYFROWY POLSAT SA,Poland,,Corporate - Communications,Sustainability Linked Bonds,1,0.60bn,Oct-22,Sustainalytics,Oct-22
CYPRUS GOVERNMENT INTERNATIONAL BOND,Cyprus,,SSA - Sovereigns,Sustainability,1,1.09bn,,ISS-Oekom,Mar-23
CYRUSONE EUROPE FINANCE DAC,Ireland,,Financials - Real estate,Green,1,0.61bn,,ISS-Oekom,May-21
CZECH GAS NETWORKS INVESTMENTS SARL,Luxembourg,,Corporate - Utilities,Green,1,0.59bn,,ISS-Oekom,Aug-21
DAEGU BANK,Korea,,Financials - Banking,Sustainability,4,0.35bn,Mar-21,Moody's,Mar-21
DAEGU URBAN DEVELOPMENT CORPORATION,China (mainland),,Corporate - Industrials,Sustainability,1,0.00bn,Oct-21,Moody's,Oct-21
DAELIM ENERGY CO LTD,Korea,,Corporate - Energy,Green,1,0.01bn,,Other,Jun-21
DAIEI REAL ESTATE & DEVELOPMENT CO LTD,Japan,,Financials - Real estate,Green,1,0.02bn,,Japan Credit Rating Agency,Mar-23
DAIO PAPER CORP,Japan,,Corporate - Materials,Green,2,0.18bn,,DNV GL,Oct-18
DAITO TRUST CONSTRUCTION CO. LIMITED,Japan,,Financials - Real estate,Green,1,0.10bn,Nov-21,Other,Nov-21
DAIWA HOUSE INDUSTRY CO LTD,Japan,,Corporate - Consumer Discretionary,Green,1,0.19bn,,Other,Sep-20
DAIWA HOUSE REIT INVESTMENT CORP,Japan,,Financials - Real estate,Green,5,0.14bn,Apr-21,Japan Credit Rating Agency,Apr-21
DAIWA HOUSE REIT INVESTMENT CORP,Japan,,Financials - Real estate,Sustainability,2,0.04bn,,Japan Credit Rating Agency,Dec-21
DAIWA HOUSE REIT INVESTMENT CORP,Japan,,Financials - Real estate,Sustainability Linked Bonds,1,0.03bn,,Japan Credit Rating Agency,May-22
DAIWA OFFICE INVESTMENT CORP,Japan,,Financials - Real estate,Green,2,0.04bn,Oct-18,Japan Credit Rating Agency,Sep-20
DAIWA SECURITIES GROUP INC,Japan,,Financials - Financial services,Green,1,0.09bn,Oct-18,Sustainalytics,Oct-18
DAIWA SECURITIES LIVING INVESTMENTS CORP,Japan,,Financials - Real estate,Social,1,0.02bn,May-21,Japan Credit Rating Agency,May-21
DAMU ENTREPRENEURSHIP DEVELOPMENT FUND,Kazakhstan,,Financials - Financial services,Green,1,0.00bn,Aug-20,Other,Aug-20
DAMU ENTREPRENEURSHIP DEVELOPMENT FUND,Kazakhstan,,Financials - Financial services,Social,1,0.00bn,Oct-21,Other,Sep-21
DANA INC,United States,,Corporate - Consumer Discretionary,Green,1,0.40bn,,S&P,Apr-21
DANONE SA,France,,Corporate - Consumer Staples,Social,1,0.37bn,,Vigeo Eiris,Mar-18
DANSKE BANK A/S,Denmark,,Financials - Banking,Green,7,3.34bn,Nov-22,Sustainalytics,Nov-22
DATANG HENAN POWER GENERATION CO LTD,China (mainland),,Corporate - Utilities,Sustainability Linked Bonds,1,0.07bn,,Other,Aug-22
DATANG INTERNATIONAL POWER GENERATION COMPANY LIMITED,China (mainland),,Corporate - Utilities,Green,1,0.00bn,,Other,Jul-21
DENMARK (KINGDOM OF),Denmark,,SSA - Sovereigns,Green,1,1.38bn,Dec-21,Cicero,Nov-21
DENSO CORP,Japan,,Corporate - Consumer Discretionary,Sustainability,2,0.50bn,,Vigeo Eiris,Jul-21
DEPARTEMENT DE L'EURE,France,,SSA - Quasi-sovereigns,Sustainability,1,0.02bn,,,
DERICHEBOURG S.A.,France,,Corporate - Industrials,Green,2,0.36bn,,ISS-Oekom,May-21
DERWENT LONDON PLC,United Kingdom,,Financials - Real estate,Green,1,0.48bn,,DNV GL,Nov-21
DEUTSCHE BANK AG,Germany,,Financials - Banking,Green,128,34.05bn,,ISS-Oekom,Nov-22
"DEUTSCHE BANK AG, NEW YORK BRANCH",United States,,Financials - Banking,Green,1,0.80bn,,ISS-Oekom,Dec-20
DEUTSCHE KREDITBANK AG,Germany,,Financials - Banking,Green,2,1.21bn,,ISS-Oekom,Jul-20
DEUTSCHE KREDITBANK AG,Germany,,Financials - Banking,Social,5,2.22bn,,ISS-Oekom,Mar-22
DEUTSCHE PFANDBRIEFBANK AG,Germany,,Financials - Banking,Green,6,3.74bn,,Cicero,Apr-20
DEUTSCHE WOHNEN SE,Germany,,Financials - Real estate,Green,2,1.17bn,,ISS-Oekom,Feb-22
DEVELOPMENT BANK OF JAPAN INC.,Japan,,SSA - Quasi-sovereigns,Sustainability,12,5.83bn,Aug-18,ISS-Oekom,Sep-20
DGB CAPITAL CO LTD,Korea,,Financials - Commercial Finance,Sustainability,4,0.16bn,,Deloitte,Mar-21
DGB FINANCIAL GROUP,Korea,,Financials - Banking,Sustainability,1,0.09bn,,,
DIAMOND II LTD,India,,Corporate - Utilities,Green,2,0.40bn,,,
DIB SUKUK LTD,Cayman Islands,,Financials - Banking,Sustainability,2,1.75bn,,ISS-Oekom,Sep-22
DIC ASSET AG,Germany,,Financials - Real estate,Green,1,0.47bn,Sep-21,Sustainalytics,Sep-21
DIGITAL DUTCH FINCO BV,Netherlands,,Financials - Real estate,Green,3,2.45bn,May-18,Sustainalytics,May-18
DIGITAL EURO FINCO LLC,United States,,Financials - Real estate,Green,1,1.23bn,May-18,Sustainalytics,May-18
DIGITAL INTREPID HOLDING BV,Netherlands,,Financials - Real estate,Green,3,1.82bn,May-18,Sustainalytics,May-18
DIOS FASTIGHETER AB,Sweden,,Financials - Real estate,Green,3,0.22bn,Aug-19,Cicero,Nov-21
