bond_id,source_dataset,isin,issuer_name,issuer_type,country,currency,amount_issued,amount_issued_usd,issue_date,issue_year,maturity_date,maturity_year,use_of_proceeds,external_review_type,certification,claimed_impact_co2_tons,actual_impact_co2_tons,impact_source
KAG-FINSBURY_SQUARE_2021-1_PLC-840,,,FINSBURY SQUARE 2021-1 PLC,Financials - Specialty finance,United Kingdom,,890000000.0,890000000.0,,,,,Green,ISS-Oekom,Green,,,
KAG-FINTOIL_HAMINA_OY-841,,,FINTOIL HAMINA OY,Corporate - Energy,Finland,,80000000.0,80000000.0,,,,,Green,Cicero,Green,,,
KAG-FIRST_ABU_DHABI_BANK_PJSC-842,,,FIRST ABU DHABI BANK PJSC,Financials - Banking,United Arab Emirates,,2260000000.0,2260000000.0,,,,,Green,Jun-20 by Vigeo Eiris,Green,,,
KAG-FIRST_CAMP_GROUP_AB-843,,,FIRST CAMP GROUP AB,Corporate - Utilities,Sweden,,180000000.0,180000000.0,,,,,Sustainability Linked Bonds,ISS-Oekom,Sustainability Linked Bonds,,,
KAG-FIRST_COMMERCIAL_BANK_CO_LTD-844,,,FIRST COMMERCIAL BANK CO LTD,Financials - Banking,Taiwan,,90000000.0,90000000.0,,,,,Sustainability,PwC,Sustainability,,,
KAG-FIRST_NATIONAL_BANK_OF_NAMIBIA-845,,,FIRST NATIONAL BANK OF NAMIBIA LTD,Financials - Banking,Namibia,,10000000.0,10000000.0,,,,,Green,Dec-21 by Sustainalytics,Green,,,
KAG-FIRST_REAL_ESTATE_INVESTMENT_T-846,,,FIRST REAL ESTATE INVESTMENT TRUST,Financials - Real estate,Singapore,,70000000.0,70000000.0,,,,,Social,DNV GL,Social,,,
KAG-FIRSTRAND_BANK_LTD-847,,,FIRSTRAND BANK LTD,Financials - Banking,South Africa,,140000000.0,140000000.0,,,,,Sustainability,Dec-21 by Sustainalytics,Sustainability,,,
KAG-FISKER_INC-848,,,FISKER INC,Corporate - Consumer Discretionary,United States,,670000000.0,670000000.0,,,,,Green,,Green,,,
KAG-FIVEN_ASA-849,,,FIVEN ASA,Corporate - Technology,Australia,,80000000.0,80000000.0,,,,,Sustainability Linked Bonds,DNV GL,Sustainability Linked Bonds,,,
KAG-FJELLINJEN_A/S-850,,,FJELLINJEN A/S,Corporate - Industrials,Norway,,60000000.0,60000000.0,,,,,Green,Cicero,Green,,,
KAG-FLAGSHIP_FINANCE_PLC-851,,,FLAGSHIP FINANCE PLC,Financials - Real estate,United Kingdom,,350000000.0,350000000.0,,,,,Sustainability,Jul-21 by Sustainalytics,Sustainability,,,
KAG-FLCT_TREASURY_PTE_LTD-852,,,FLCT TREASURY PTE LTD,Financials - Real estate,Singapore,,110000000.0,110000000.0,,,,,Sustainability,,Sustainability,,,
KAG-FLEXENTIAL_ISSUER_LLC-853,,,FLEXENTIAL ISSUER LLC,Corporate - Technology,United States,,1610000000.0,1610000000.0,,,,,Green,Nov-21 by Sustainalytics,Green,,,
